"country";"actor_id";"actor_name";"mechanism_id";"mechanism_name";"relationship_type";"source_id";"citation";"legal_anchor_type";"anchor_strength";"manual_review_required";"notes"
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-007";"recall";"reference";"MEX-INERM";"MEX-INERM 225";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-007";"recall";"reference";"MEX-INERM";"MEX-INERM 225";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-007";"recall";"reference";"MEX-INERM";"MEX-INERM 225";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-013";"electoral_authority_internal_governance";"reference";"MEX-INERM";"MEX-INERM 225";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-013";"electoral_authority_internal_governance";"reference";"MEX-INERM";"MEX-INERM 225";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-013";"electoral_authority_internal_governance";"reference";"MEX-INERM";"MEX-INERM 225";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-002";"TEPJF";"MEX-MECH-001";"vote";"reference";"MEX-INERM";"MEX-INERM 83 Fr. III.";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-010";"legislative_petition_or_participation";"reference";"MEX-INERM";"MEX-INERM 83 Fr. III.";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-010";"legislative_petition_or_participation";"reference";"MEX-INERM";"MEX-INERM 83 Fr. III.";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-010";"legislative_petition_or_participation";"reference";"MEX-INERM";"MEX-INERM 83 Fr. III.";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-011";"transparency_and_accountability";"reference";"MEX-INERM";"MEX-INERM 83 Fr. III.";"electoral_administrative";"2";"true";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-011";"transparency_and_accountability";"reference";"MEX-INERM";"MEX-INERM 83 Fr. III.";"electoral_administrative";"2";"true";""
