"country";"mechanism_id";"mechanism_name";"source_id";"source_title";"source_file";"source_type";"normative_rank";"role_in_mechanism";"legal_anchor_type";"is_core_source";"manual_review_required";"notes"
"Mexico";"MEX-MECH-003";"political_parties";"MEX-LFCP";"LEY FEDERAL DE CONSULTA POPULAR";"ley_federal_consulta_popular.md";"federal_law";"4";"supporting";"statutory";"false";"false";""
"Mexico";"MEX-MECH-008";"electoral_remedies";"MEX-LFCP";"LEY FEDERAL DE CONSULTA POPULAR";"ley_federal_consulta_popular.md";"federal_law";"4";"supporting";"statutory";"false";"false";""
"Mexico";"MEX-MECH-007";"recall";"MEX-LFRM";"LEY FEDERAL DE REVOCACIÓN DE MANDATO";"ley_federal_revocacion_mandato.md";"federal_law";"4";"supporting";"statutory";"false";"false";""
"Mexico";"MEX-MECH-001";"vote";"MEX-LFRM";"LEY FEDERAL DE REVOCACIÓN DE MANDATO";"ley_federal_revocacion_mandato.md";"federal_law";"4";"supporting";"statutory";"false";"false";""
"Mexico";"MEX-MECH-008";"electoral_remedies";"MEX-LFRM";"LEY FEDERAL DE REVOCACIÓN DE MANDATO";"ley_federal_revocacion_mandato.md";"federal_law";"4";"supporting";"statutory";"false";"false";""
"Mexico";"MEX-MECH-013";"electoral_authority_internal_governance";"MEX-LFRM";"LEY FEDERAL DE REVOCACIÓN DE MANDATO";"ley_federal_revocacion_mandato.md";"federal_law";"4";"supporting";"statutory";"false";"false";""
"Mexico";"MEX-MECH-003";"political_parties";"MEX-LFRM";"LEY FEDERAL DE REVOCACIÓN DE MANDATO";"ley_federal_revocacion_mandato.md";"federal_law";"4";"supporting";"statutory";"false";"false";""
"Mexico";"MEX-MECH-010";"legislative_petition_or_participation";"MEX-LFRM";"LEY FEDERAL DE REVOCACIÓN DE MANDATO";"ley_federal_revocacion_mandato.md";"federal_law";"4";"supporting";"statutory";"false";"false";""
"Mexico";"MEX-MECH-002";"right_to_stand_for_election";"MEX-LFRM";"LEY FEDERAL DE REVOCACIÓN DE MANDATO";"ley_federal_revocacion_mandato.md";"federal_law";"4";"supporting";"statutory";"false";"false";""
"Mexico";"MEX-MECH-009";"electoral_crimes";"MEX-LGDE";"LEY GENERAL EN MATERIA DE DELITOS ELECTORALES";"ley_general_delitos_electorales.md";"general_law";"3";"primary";"statutory";"true";"false";""
"Mexico";"MEX-MECH-006";"popular_consultation";"MEX-LGDE";"LEY GENERAL EN MATERIA DE DELITOS ELECTORALES";"ley_general_delitos_electorales.md";"general_law";"3";"primary";"statutory";"true";"false";""
