"provision_id";"country";"source_id";"source_title";"source_file";"source_type";"normative_rank";"article";"subdivision";"citation";"provision_text";"mechanism";"right_dimension";"actor";"authority";"obligation_or_faculty";"procedure";"requirement";"restriction";"remedy";"sanction_or_accountability";"legal_anchor_type";"anchor_strength";"operational_dependence";"gap_type";"confidence";"manual_review_required";"notes"
"CRC-RATSRE-0078";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"22";"Inc. d";"CRC-RATSRE 22 Inc. d";"d)   Por dos ausencias alternas o cuatro medias ausencias alternas, suspensión por diez días sin goce de salario.";"";"";"";"";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0079";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"22";"Inc. e";"CRC-RATSRE 22 Inc. e";"e)   Por dos y media ausencias alternas o cinco medias ausencias alternas, suspensión por diez días sin goce de salario. REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES Decreto n.° 3-1996";"electoral_authority_internal_governance";"";"TSE";"TSE";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0080";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"22";"Inc. f";"CRC-RATSRE 22 Inc. f";"f)   Por dos ausencias consecutivas o cuatro medias ausencias en días consecutivos o tres ausencias alternas o seis medias ausencias alternas en el mismo mes calendario, despido del funcionario sin responsabilidad patronal. Nota: Reformado el artículo 22 por Decreto n.° 14-2012 del Tribunal Supremo de Elecciones de 31 de agosto de 2012, publicado en La Gaceta n.° 219 de 13 de noviembre de 2012. #### CAPÍTULO VI DEL ABANDONO DEL TRABAJO";"electoral_authority_internal_governance";"";"TSE";"TSE";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0081";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"23";"";"CRC-RATSRE 23";"Queda absolutamente prohibido a todo trabajador hacer abandono, sin causa justificada, de la labor que se le ha asignado dentro de la jornada de trabajo, sin el permiso previo de la jefatura respectiva. El trabajador deberá presentar ante el Departamento de Recursos Humanos, de previo al inicio del permiso o licencia conferida, la boleta con la respectiva autorización. En casos de excepción, debidamente justificados por la jefatura, dicha boleta de justificación deberá presentarse ante el Departamento de Recursos Humanos, dentro de los tres días hábiles siguientes al otorgamiento del permiso. No se considerará abandono la ausencia ocasionada por los permisos o licencias a que se refieren los artículos 31, 32 y 33 de este Reglamento. Nota: Reformado el artículo 23 por Decreto n.° 14-2012 del Tribunal Supremo de Elecciones de 31 de agosto de 2012, publicado en La Gaceta n.° 219 de 13 de noviembre de 2012.";"electoral_authority_internal_governance";"";"TSE";"TSE";"";"";"";"yes";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0082";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"24";"";"CRC-RATSRE 24";"El abandono injustificado del trabajo se sancionará de la siguiente forma:";"";"";"";"";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0083";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"24";"Inc. a";"CRC-RATSRE 24 Inc. a";"a)    La primera vez, suspensión por dos días sin goce de salario.";"";"";"";"";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0084";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"24";"Inc. b";"CRC-RATSRE 24 Inc. b";"b)    La segunda vez, suspensión por cuatro días sin goce de salario.";"";"";"";"";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0085";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"24";"Inc. c";"CRC-RATSRE 24 Inc. c";"c)    La tercera vez, despido sin responsabilidad patronal. Cada seis meses calendario prescribirá, a efectos de su cómputo, la acumulación a que se refiere este artículo. Nota: Reformado el artículo 24 por Decreto n.° 14-2012 del Tribunal Supremo de Elecciones de 31 de agosto de 2012, publicado en La Gaceta n.° 219 de 13 de noviembre de 2012. REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES Decreto n.° 3-1996 #### CAPÍTULO VII VACACIONES";"electoral_authority_internal_governance";"";"TSE";"TSE";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0086";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"25";"";"CRC-RATSRE 25";"Los trabajadores tendrán derecho a vacaciones conforme a la escala siguiente:";"";"";"";"";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
"CRC-RATSRE-0087";"Costa Rica";"CRC-RATSRE";"REGLAMENTO AUTÓNOMO DE SERVICIOS DEL TRIBUNAL SUPREMO DE ELECCIONES";"reglamento_autonomo_servicios_tse.md";"administrative_reglamento";"7";"25";"Inc. a";"CRC-RATSRE 25 Inc. a";"a) Si han trabajado durante un tiempo de cincuenta semanas a cuatro años y cincuenta semanas, quince días hábiles.";"";"";"";"";"";"";"";"";"";"";"electoral_administrative";"1";"high";"administrative_overdependence";"low";"true";""
