"provision_id","source_id","citation","mechanism","authority","actor","obligation_or_faculty","legal_anchor_type","anchor_strength","senate_reference_type","senate_as_grammatical_subject","has_functional_keyword","in_target_mechanism","functional_types","patch_candidate","text_excerpt"
"MEX-REGSN-0455","MEX-REGSN","MEX-REGSN 219 Fr. III.","","Congress","Congress","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","legislative_procedure","no","III.  Respecto de las iniciativas de senadores presentadas durante el año de ejercicio legislativo inmediato anterior, respecto de las cuales hayan transcurrido los plazos o incumplido las disposiciones previstas en los artículos 212 al 217 de este Reglamento, y que continúen sin dictaminar, se proc"
"MEX-REGSN-0456","MEX-REGSN","MEX-REGSN 220","","Congress","Congress","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","legislative_procedure","no","1. Todo proyecto de ley o decreto aprobado por el Senado en su condición de Cámara de origen, se envía inmediatamente a la Cámara de Diputados para los efectos del artículo 72 constitucional. 2. Los proyectos que pasan del Senado a la Cámara de Diputados son firmados por el Presidente y un secretari"
"MEX-REGSN-0459","MEX-REGSN","MEX-REGSN 221","","Congress","Congress","obligation","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","legislative_procedure|popular_consultation_procedure","no","1. En el caso de los proyectos de ley o decreto devueltos al Senado por la Cámara de Diputados, en su condición de Cámara revisora, por haberlos desechado en forma total o parcial con observaciones o modificaciones, el Presidente da cuenta al Pleno y ordena el trámite que corresponde conforme a este"
"MEX-REGSN-0460","MEX-REGSN","MEX-REGSN 222","","","","obligation","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","legislative_procedure","no","1. Los proyectos de ley o decreto que deben remitirse por el Senado al Ejecutivo Federal en cumplimiento del inciso a) del artículo 72 de la Constitución, se acompañan de los documentos a que se refiere el artículo 220 de este Reglamento. 2. Cuando el Senado es Cámara de origen de los proyectos de l"
"MEX-REGSN-0462","MEX-REGSN","MEX-REGSN 223","","","","obligation","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","legislative_procedure","no","1. En los casos de proyectos de ley o decreto devueltos al Senado, en su condición de Cámara de origen, por el Ejecutivo Federal al haberlos desechado en forma total o parcial, con observaciones o modificaciones, el Presidente de la Mesa da cuenta al Pleno y ordena el trámite que corresponde conform"
"MEX-REGSN-0463","MEX-REGSN","MEX-REGSN 224","vote","","","","regulatory_or_parliamentary_procedural","3","specific","no","yes","yes","legislative_procedure","no","1. El proceso de discusión y dictamen en comisiones y debate y votación en el Pleno de iniciativas y proyectos de reformas o adiciones a la Constitución, se realiza conforme a los procedimientos y plazos establecidos en el presente Reglamento, salvo en lo relativo a la mayoría calificada de dos terc"
"MEX-REGSN-0464","MEX-REGSN","MEX-REGSN 225","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification|legislative_procedure|popular_consultation_procedure","no","1. Cuando el Senado como Cámara revisora en el proceso legislativo de reformas a la Constitución, aprueba un proyecto el Presidente procede de la siguiente forma: I. Envía el texto del proyecto a cada una de las legislaturas de los estados, anexando al expediente los antecedentes y demás elementos d"
"MEX-REGSN-0466","MEX-REGSN","MEX-REGSN 225 Fr. IV.","","Congress","Congress","obligation","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","legislative_procedure","no","IV. Integra un expediente el cual suscribe conjuntamente con un Secretario de la Mesa Directiva del Senado y recaba la firma del Presidente y un Secretario de la Mesa Directiva de la Cámara de Diputados, de acuerdo con los artículos 23 y 67 de la Ley; y V. Hecho lo anterior, emite de inmediato la de"
"MEX-REGSN-0467","MEX-REGSN","MEX-REGSN 226","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification|legislative_procedure|popular_consultation_procedure","no","1. Una vez que el Senado aprueba una ley o decreto en condición de Cámara revisora, se registra en su Libro de Leyes."
"MEX-REGSN-0468","MEX-REGSN","MEX-REGSN 227","","Congress","Congress","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","legislative_procedure|popular_consultation_procedure","no","1. Cuando el Senado funge como Cámara revisora, una vez aprobado en sus términos un proyecto de ley o decreto que le sea enviado por la Cámara de Diputados conforme a lo dispuesto en el"
"MEX-REGSN-0469","MEX-REGSN","MEX-REGSN 72","","Congress","Congress","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification|legislative_procedure|popular_consultation_procedure","no",", inciso a), de la Constitución, lo remite al Ejecutivo Federal para sus efectos constitucionales. 2. Cuando el Senado funge como Cámara de origen, en términos de lo que dispone el artículo 72, inciso g), de la Constitución y aprueba las modificaciones o reformas hechas a un proyecto por la Cámara d"
"MEX-REGSN-0490","MEX-REGSN","MEX-REGSN 236","","","","faculty","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1. De los resultados que las comisiones presentan al Pleno sobre el análisis de la política exterior en su conjunto o de aspectos específicos de la misma o del examen que realiza el Pleno en forma directa, se pueden derivar conclusiones en las que el Senado expone sus opiniones. 2. Como parte de las"
"MEX-REGSN-0491","MEX-REGSN","MEX-REGSN 237","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification|treaty_ratification","no","1. De conformidad con lo dispuesto en el párrafo segundo de la fracción I del artículo 76 de la Constitución, el Senado aprueba los tratados internacionales y convenciones diplomáticas suscritos por el Ejecutivo Federal, así como su decisión de terminar, denunciar, suspender, modificar, enmendar, re"
"MEX-REGSN-0493","MEX-REGSN","MEX-REGSN 238 Num. 4","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification|legislative_procedure","no","4.  Tratándose de la aprobación de tratados internacionales por los que se reconozcan derechos humanos en los términos del artículo 1º constitucional, el Senado dará trámite inmediato y prioritario a su estudio y discusión.  #### SECCION TERCERA #### DE LA APROBACION O RATIFICACION DE NOMBRAMIENTOS "
"MEX-REGSN-0494","MEX-REGSN","MEX-REGSN 239","","","","obligation","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification|treaty_ratification","no","1. Corresponde al Senado la aprobación o ratificación de nombramientos que hace el Presidente de la República para los siguientes cargos, conforme lo disponen los artículos relativos de la Constitución: I. Integrantes de la Junta de Gobierno del Instituto Nacional de Estadística, Geografía e Informá"
"MEX-REGSN-0497","MEX-REGSN","MEX-REGSN 239 Fr. VI.","","","","obligation","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification","no","VI. Coroneles y demás jefes superiores del Ejército y Fuerza Aérea Nacionales, así como los grados equivalentes en la Armada. 2. Respecto de los Empleados Superiores de Hacienda a que se refiere la fracción V del párrafo anterior, el Senado debe emitir, a propuesta de la Mesa, el acuerdo que especif"
"MEX-REGSN-0498","MEX-REGSN","MEX-REGSN 240","","","","obligation","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification","no","1. Cuando corresponde al Senado aprobar, ratificar u objetar el nombramiento de servidores públicos que realiza el Titular del Ejecutivo Federal y no existan disposiciones expresas que regulen el procedimiento relativo en la Constitución o las leyes correspondientes, se está a lo dispuesto por el pr"
"MEX-REGSN-0499","MEX-REGSN","MEX-REGSN 255","","Congress","Congress","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification|legislative_procedure|treaty_ratification","no","de este Reglamento. 2. Cuando finaliza un período de sesiones ordinarias del Congreso de la Unión sin que el Senado concluya el trámite de ratificación o aprobación de un nombramiento, la Mesa remite a la Comisión Permanente, de ser el caso, el expediente relativo para los efectos procedentes."
"MEX-REGSN-0501","MEX-REGSN","MEX-REGSN 242","","","","faculty","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","legislative_procedure","no","1. Una vez verificado el cumplimiento de los requisitos e integrado debidamente el expediente, la comisión o comisiones pueden citar a comparecer a la persona de que se trata, a fin de allegarse mayores elementos de juicio para la elaboración del dictamen que corresponda. 2. La comparecencia la conv"
"MEX-REGSN-0502","MEX-REGSN","MEX-REGSN 243","vote","","","","regulatory_or_parliamentary_procedural","3","specific","no","yes","yes","appointment_ratification|treaty_ratification","no","1. La aprobación o ratificación de nombramientos se hace por votación nominal de la mayoría absoluta de los senadores presentes en la sesión, salvo disposición expresa en que se exija una mayoría calificada."
"MEX-REGSN-0504","MEX-REGSN","MEX-REGSN 245","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","judicial_election_procedure|appointment_ratification","no","1. Cuando así lo acuerda el Presidente, los servidores públicos cuyos nombramientos se aprueban en los términos del presente Capítulo, prestan la protesta constitucional ante el Pleno del Senado en la misma sesión."
"MEX-REGSN-0505","MEX-REGSN","MEX-REGSN 246","administrative_responsibility","","","","regulatory_or_parliamentary_procedural","3","specific","no","no","yes","other_functional","no","1. Cuando la Constitución o las leyes prevén la intervención del Senado para aprobar o resolver sobre la remoción de un servidor público de los que se refieren en el artículo 239 de este Reglamento, el procedimiento se sujeta, en lo conducente, a lo que establece este Capítulo. #### SECCION CUARTA #"
"MEX-REGSN-0506","MEX-REGSN","MEX-REGSN 247","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1. Cuando el Senado recibe del Presidente de la República una solicitud de autorización o consentimiento en términos de las fracciones III y IV del artículo 76 de la Constitución, el Presidente procede a turnarla de inmediato a comisiones a efecto de que se dictamine y presente el proyecto relativo "
"MEX-REGSN-0507","MEX-REGSN","MEX-REGSN 248","vote","","","","regulatory_or_parliamentary_procedural","3","specific","no","yes","yes","legislative_procedure","no","1. Cuando el Ejecutivo Federal requiere la aprobación del Senado para reconocer, en cada caso, la jurisdicción de la Corte Penal Internacional, el Presidente da cuenta al Pleno de la solicitud y la turna de inmediato a las comisiones competentes, las que dictaminan en los términos de este Reglamento"
"MEX-REGSN-0512","MEX-REGSN","MEX-REGSN 253","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification","no","1. La Sección de Enjuiciamiento se constituye con cuatro de los senadores que forman parte de la Comisión Jurisdiccional, designados inmediatamente después de que se integra la propia comisión. 2. Al elegirse a los integrantes de la Sección de Enjuiciamiento, se nombra también a su Presidente. 3. En"
"MEX-REGSN-0516","MEX-REGSN","MEX-REGSN 255 Fr. IV.","","","","obligation","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification|legislative_procedure|treaty_ratification","no","IV. Presidente de la Comisión Nacional de Derechos Humanos e integrantes del Consejo Consultivo de la misma; y V. Magistrados del Tribunal Superior Agrario y de los Tribunales Unitarios Agrarios. 2. Al Senado le corresponde hacer los demás nombramientos o pronunciarse sobre ellos, conforme lo dispon"
"MEX-REGSN-0517","MEX-REGSN","MEX-REGSN 256","administrative_responsibility","Congress","Congress","obligation","regulatory_or_parliamentary_procedural","3","specific","no","yes","yes","appointment_ratification","no","1. Cuando corresponde al Senado nombrar directamente algún servidor público y no existen disposiciones expresas en la Constitución o las leyes que regulen el procedimiento correspondiente, se está a lo dispuesto por el presente Reglamento. 2. Si así es pertinente, cuando el nombramiento de que se tr"
"MEX-REGSN-0518","MEX-REGSN","MEX-REGSN 257","","","","obligation","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification","no","1. Una vez que se recibe la comunicación oficial sobre una vacante o se actualiza el supuesto jurídico para que el Senado ejerza sus facultades de nombramiento respecto de un determinado cargo público, el Presidente da cuenta al Pleno y se procede conforme a lo siguiente: I. En caso de que la facult"
"MEX-REGSN-0519","MEX-REGSN","MEX-REGSN 257 Fr. III.","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","legislative_procedure","no","III. En los casos en que una comisión del Senado es la competente para presentar una propuesta, la remite directamente al Presidente para que la ponga a consideración del Pleno. 2. En todo caso, la comisión o comisiones revisan que las personas que se proponen cumplen los requisitos para el cargo y "
"MEX-REGSN-0520","MEX-REGSN","MEX-REGSN 258","administrative_responsibility","","","","regulatory_or_parliamentary_procedural","3","specific","no","no","yes","appointment_ratification","no","1. Cuando un nombramiento lo emite directamente el Senado en los términos del presente Capítulo, el servidor público designado rinde ante el Pleno en la misma sesión la protesta constitucional al cargo."
"MEX-REGSN-0527","MEX-REGSN","MEX-REGSN 265","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1. La intervención del Senado en materia de límites entre entidades federativas está a lo dispuesto en los artículos 46 y 76, fracción X, de la Constitución, la ley reglamentaria correspondiente y este Reglamento.  2. Los convenios amistosos que presentan las entidades federativas para su aprobación"
"MEX-REGSN-0528","MEX-REGSN","MEX-REGSN 265 Num. 1","administrative_responsibility","","","","regulatory_or_parliamentary_procedural","3","specific","no","no","yes","other_functional","no","1. Para las comparecencias de las autoridades o servidores públicos a los que hace referencia el segundo párrafo del aparatado B del artículo 102 de la Constitución Política de los Estados Unidos Mexicanos, se estará a lo siguiente: I. Una vez que ingrese al lugar destinado para sesionar el servidor"
"MEX-REGSN-0532","MEX-REGSN","MEX-REGSN 266","administrative_responsibility","Congress","Congress","","regulatory_or_parliamentary_procedural","3","specific","no","yes","yes","other_functional","no","1. En el ejercicio de las funciones de control de las cámaras del Congreso de la Unión, en el ámbito de su competencia el Senado recibe, analiza y se pronuncia respecto de los informes de los entes públicos a los cuales la Constitución y las leyes imponen la obligación de presentarlos. 2. El Senado "
"MEX-REGSN-0534","MEX-REGSN","MEX-REGSN 268","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1. Conforme a la Ley, del análisis que realiza del informe presentado, el Senado puede solicitar al Presidente de la República, mediante preguntas por escrito, amplíe la información relativa. 2. La Junta integra las preguntas que formulan los grupos parlamentarios en proporción al número de sus inte"
"MEX-REGSN-0535","MEX-REGSN","MEX-REGSN 269","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1. El objeto, la presentación, el contenido y la periodicidad de los demás informes que los entes públicos obligados remiten al Senado se sujetan, en cada caso, a lo que dispone el ordenamiento aplicable."
"MEX-REGSN-0536","MEX-REGSN","MEX-REGSN 270","","","","faculty","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1. En el contexto del informe presidencial, el Senado puede convocar a comparecer a los servidores públicos obligados para que informen o respondan preguntas o interpelaciones, bajo protesta de decir verdad. Asimismo, puede hacerlo para el análisis de leyes o de asuntos referidos a los respectivos r"
"MEX-REGSN-0537","MEX-REGSN","MEX-REGSN 271","administrative_responsibility","","","obligation","regulatory_or_parliamentary_procedural","3","specific","no","yes","yes","other_functional","no","1. Cuando por acuerdo del Pleno deben comparecer servidores públicos conforme al artículo 93 de la Constitución, la comunicación oficial del Senado señala si la comparecencia es ante el Pleno o en comisiones y el objeto de la reunión, anexando, en su caso, la documentación concerniente al asunto que"
"MEX-REGSN-0538","MEX-REGSN","MEX-REGSN 272","vote|administrative_responsibility","","","faculty","regulatory_or_parliamentary_procedural","3","specific","no","yes","yes","other_functional","no","1. Las preguntas e interpelaciones a los servidores públicos referidos en el artículo 93 constitucional, sin mediar comparecencia, se presentan por escrito y firmadas por los senadores que las formulan en lo individual o en grupo. 2. Las preguntas e interpelaciones se incluyen en el Orden del Día de"
"MEX-REGSN-0539","MEX-REGSN","MEX-REGSN 273","administrative_responsibility","","","obligation","regulatory_or_parliamentary_procedural","3","specific","no","yes","yes","other_functional","no","1. Las preguntas e interpelaciones que hacen los senadores al compareciente, ya sea por escrito o en forma verbal, deben ser concisas y expresarse de tal modo que permitan una respuesta similar, que representen el interés público y referirse al marco de atribuciones y competencias del servidor públi"
"MEX-REGSN-0540","MEX-REGSN","MEX-REGSN 274","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1. Los informes que la Constitución o las leyes ordenan a las dependencias, entidades, órganos autónomos o servidores públicos presentar al Senado de manera periódica, son turnados a las comisiones competentes y se publican en la página electrónica o en la Gaceta. 2. Las comisiones competentes anali"
"MEX-REGSN-0541","MEX-REGSN","MEX-REGSN 275","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification","no","1. El Pleno emite acuerdos parlamentarios a propuesta de la Mesa, la Junta, las comisiones y los comités, con el objeto de dictar resoluciones económicas relativas al régimen interior del Senado, conforme al artículo 77 de la Constitución. 2. Los acuerdos parlamentarios que proponen la Mesa o la Jun"
"MEX-REGSN-0548","MEX-REGSN","MEX-REGSN 278","transparency_and_accountability","","","","regulatory_or_parliamentary_procedural","3","specific","no","yes","yes","other_functional","no","1. Toda comunicación o solicitud que cualquier persona dirige al Senado se atiende conforme a las disposiciones constitucionales y legales que regulan los derechos de petición y de acceso a la información pública. En todo caso, el escrito debe contener nombre, firma y domicilio del remitente, sin lo"
"MEX-REGSN-0549","MEX-REGSN","MEX-REGSN 279","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1. Las comunicaciones, peticiones, consultas y otros asuntos remitidos por entes públicos, se turnan a las comisiones, los comités y los demás órganos competentes del Senado, para la atención que corresponda. 2. Los órganos directivos del Senado y las comisiones o los comités llevan un registro de l"
"MEX-REGSN-0550","MEX-REGSN","MEX-REGSN 280","","Congress","Congress","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1. La diplomacia parlamentaria es la actividad desarrollada por el Senado, por sí mismo o como parte del Congreso de la Unión, en sus relaciones con parlamentos, congresos, cámaras o asambleas legislativas de carácter nacional de otros países, y con las organizaciones internacionales que  los agrupa"
"MEX-REGSN-0552","MEX-REGSN","MEX-REGSN 281 Fr. III.","","Congress","Congress","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","III. La participación en organismos interparlamentarios permanentes, de carácter regional o mundial, de los que el Congreso de la Unión es miembro; IV La presencia y el trabajo en foros multilaterales convocados por organizaciones internacionales de carácter gubernamental; y V. La participación, pre"
"MEX-REGSN-0554","MEX-REGSN","MEX-REGSN 283","","Congress","Congress","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1. Son atribuciones de la Mesa en materia de diplomacia parlamentaria y de relaciones internacionales: I. Establecer las bases de coordinación necesaria con los órganos competentes de la Cámara de Diputados para desahogar conjuntamente las actividades del Congreso de la Unión en estas materias; II. "
"MEX-REGSN-0558","MEX-REGSN","MEX-REGSN 283 Fr. VIII.","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","budget_oversight","no","VIII. Integrar al proyecto de presupuesto del Senado las partidas correspondientes para cumplir la Agenda Internacional; y"
"MEX-REGSN-0560","MEX-REGSN","MEX-REGSN 284","","Congress","Congress","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1. Son atribuciones del Presidente de la Mesa en materia de diplomacia parlamentaria y relaciones internacionales: I. Coordinar con los órganos competentes de la Cámara de Diputados el desahogo de la Agenda Internacional del Senado, en tanto parte del Congreso de la Unión; II. Representar al Senado "
"MEX-REGSN-0564","MEX-REGSN","MEX-REGSN 283","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification","no","de este Reglamento, la Mesa atiende los siguientes criterios: I. Respecto de organizaciones interparlamentarias permanentes, se designan en cada caso representantes por una o dos legislaturas; II. En la integración de representaciones permanentes y delegaciones a eventos en el exterior se refleja, e"
"MEX-REGSN-0565","MEX-REGSN","MEX-REGSN 283 Fr. III.","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","III. Las representaciones permanentes se integran conforme lo disponen los instrumentos internacionales respectivos; las delegaciones se forman de acuerdo a los requerimientos de cada evento y la disponibilidad presupuestal del Senado;"
"MEX-REGSN-0566","MEX-REGSN","MEX-REGSN 283 Fr. IV.","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification","no","IV. Se toma en consideración la especialización de las comisiones para proponer a los integrantes de las representaciones o delegaciones del Senado; y V. Se designa un presidente para cada representación o delegación del Senado. 2. La Mesa puede autorizar a cada representación o delegación de senado"
"MEX-REGSN-0567","MEX-REGSN","MEX-REGSN 286 Num. 1","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1.  Las delegaciones del Senado adoptan sus resoluciones por consenso; de no ser posible éste, por mayoría de votos de sus integrantes."
"MEX-REGSN-0569","MEX-REGSN","MEX-REGSN 286 Num. 3","","","","obligation","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","appointment_ratification|treaty_ratification","no","3.  En caso de que en el evento al que asista una delegación se tomen resoluciones que impliquen alguna obligación para el Senado, se deben someter a la ratificación del Pleno para que surtan efectos."
"MEX-REGSN-0571","MEX-REGSN","MEX-REGSN 287 Fr. III.","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","III. Tomar en consideración las aportaciones de los integrantes de la representación o delegación en la formulación de los documentos e intervenciones en los que se fije la posición del Senado;"
"MEX-REGSN-0579","MEX-REGSN","MEX-REGSN 293","","SCJN|Congress","SCJN|Congress","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1. A los ministros de la Suprema Corte de Justicia de la Nación, los Secretarios de Despacho, los demás servidores públicos que acudan al Senado a invitación de éste, los Jefes de Estado, de Gobierno, representantes diplomáticos o invitados especiales, se les asigna sitio específico para tomar asien"
"MEX-REGSN-0580","MEX-REGSN","MEX-REGSN 294","transparency_and_accountability","","","obligation","regulatory_or_parliamentary_procedural","3","specific","no","no","yes","other_functional","no","1. Las consultas en materia de protocolo se formulan por los órganos directivos, las comisiones o los senadores a la Comisión de Reglamentos y Prácticas Parlamentarias, la que las atiende en un plazo no mayor a cinco días. 2. Corresponde también a la Comisión de Reglamentos y Prácticas Parlamentaria"
"MEX-REGSN-0581","MEX-REGSN","MEX-REGSN 295","transparency_and_accountability","","","obligation","regulatory_or_parliamentary_procedural","3","specific","no","yes","yes","appointment_ratification","no","1. Como sujeto obligado en materia de transparencia y acceso a la información pública gubernamental, el Senado garantiza el acceso de toda persona a la información de que dispone, en los términos de la Constitución, la ley de la materia y este Reglamento. 2. El Comité de Garantía de Acceso y Transpa"
"MEX-REGSN-0582","MEX-REGSN","MEX-REGSN 296","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","1. Está a disposición del público, a través de medios electrónicos remotos o locales, la información del Senado que ordena la ley de la materia, así como la considerada como socialmente útil y relevante por el Comité. 2. Conforme a las disponibilidades técnicas y presupuestales, los órganos directiv"
"MEX-REGSN-0583","MEX-REGSN","MEX-REGSN 297","transparency_and_accountability","","","obligation","regulatory_or_parliamentary_procedural","3","specific","no","no","yes","other_functional","no","1. Las solicitudes y procedimientos para la obtención de la información del Senado se efectúan por conducto de la Unidad de Enlace para el Acceso y la Transparencia de la Información. 2. La información del Senado sólo es puesta a disposición o proporcionada por los órganos y personal responsables o "
"MEX-REGSN-0589","MEX-REGSN","MEX-REGSN 301 Num. 3","transparency_and_accountability","","","","regulatory_or_parliamentary_procedural","3","specific","no","no","yes","other_functional","no","3.  El Estatuto a que se refiere el párrafo anterior desarrolla las bases orgánicas y funcionales del Instituto Belisario Domínguez y del Centro de Estudios Internacionales Gilberto Bosques, establecidos en los términos del artículo 135 de la Ley; así como de la Unidad de Enlace para la Transparenci"
"MEX-REGSN-0596","MEX-REGSN","MEX-REGSN 306 Fr. VIII.","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","legislative_procedure","no","VIII. Las proposiciones de acuerdo o de resoluciones económicas sobre el régimen interior del Senado que presentan sus órganos de gobierno; IX. Los cambios aprobados en la integración de las comisiones y los comités; X. Las propuestas de acuerdos parlamentarios; XI. Las observaciones sobre proyectos"
"MEX-REGSN-0606","MEX-REGSN","MEX-REGSN 308 Fr. III.","","","","","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","III. Los informes o documentos que remitan los senadores a título personal se publican íntegros en la edición impresa si su extensión no es mayor a 15 páginas; si excede ese volumen, la publicación impresa sólo contiene el respectivo oficio de remisión o presentación y el texto completo aparece en l"
"MEX-REGSN-0618","MEX-REGSN","MEX-REGSN 309 Fr. XV.","vote","","","","regulatory_or_parliamentary_procedural","3","specific","no","no","yes","other_functional","no","XV. Resultado de las votaciones.  2. El Diario de los Debates se publica dentro de los cinco días hábiles posteriores al término de la sesión en la página electrónica en Internet del Senado y de forma impresa en el mínimo necesario de ejemplares.  ## CAPITULO TERCERO #### DEL RESGUARDO DEL RECINTO Y"
"MEX-REGSN-0621","MEX-REGSN","MEX-REGSN 310 Num. 3","","","","obligation","regulatory_or_parliamentary_procedural","2","specific","no","yes","no","other_functional","no","3.  La presencia de la fuerza pública en el Senado con cualquier otro objetivo debe ser aprobada por el Pleno; de no estar reunido éste, la aprobación corresponde a la Mesa, la que informa al Pleno en su sesión inmediata siguiente."
